May 18 09:41:38 CoreMP135 uv[21992]: 09:41:38.812 [INFO    ] aas_agent.core.event_handler — Service registered: EmissionService (4 Entries)
May 18 09:41:38 CoreMP135 uv[21992]: 09:41:38.814 [INFO    ] aas_agent.core.event_handler — Service registered: EmissionService (4 Entries)
May 18 09:41:38 CoreMP135 uv[21992]: 09:41:38.816 [INFO    ] aas_agent.core.event_handler — Service registered: EmissionService (4 Entries)
May 18 09:41:38 CoreMP135 uv[21992]: 09:41:38.817 [INFO    ] aas_agent.core.event_handler — Service registered: EmissionService (4 Entries)
May 18 09:41:38 CoreMP135 uv[21992]: 09:41:38.819 [INFO    ] aas_agent.core.event_handler — Service registered: EmissionService (4 Entries)
May 18 09:41:38 CoreMP135 uv[21992]: 09:41:38.822 [INFO    ] aas_agent.aas_agent — AasAgent is starting...
May 18 09:41:38 CoreMP135 uv[21992]: 09:41:38.824 [INFO    ] aas_agent.core.event_listener — Verbinde mit MQTT Broker 192.168.1.101:1883
May 18 09:41:38 CoreMP135 uv[21992]: 09:41:38.832 [INFO    ] aas_agent.aas_agent — AasAgent is running.
May 18 09:41:38 CoreMP135 uv[21992]: Waiting for MQTT messages...
May 18 09:41:38 CoreMP135 uv[21992]: 09:41:38.837 [INFO    ] aas_agent.core.event_listener — MQTT connected, subscribe to Topics...
May 18 09:41:58 CoreMP135 uv[21992]: 09:41:58.478 [INFO    ] aas_agent.core.event_handler — Operation triggered: set_emission_factor (via 'emissionfactor')
May 18 09:41:58 CoreMP135 uv[21992]: 09:41:58.488 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 0] Emission factor before update: 0.059
May 18 09:41:58 CoreMP135 uv[21992]: 09:41:58.489 [INFO    ] aas_agent.core.event_handler — Operation triggered: set_emission_factor (via 'emissionfactor')
May 18 09:41:58 CoreMP135 uv[21992]: 09:41:58.502 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 1] Emission factor before update: 0.059
May 18 09:41:58 CoreMP135 uv[21992]: 09:41:58.503 [INFO    ] aas_agent.core.event_handler — Operation triggered: set_emission_factor (via 'emissionfactor')
May 18 09:41:58 CoreMP135 uv[21992]: 09:41:58.517 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 0] Emission factor updated: 0.06
May 18 09:41:58 CoreMP135 uv[21992]: 09:41:58.522 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 2] Emission factor before update: 0.059
May 18 09:41:58 CoreMP135 uv[21992]: 09:41:58.539 [INFO    ] aas_agent.core.event_handler — Operation triggered: set_emission_factor (via 'emissionfactor')
May 18 09:41:58 CoreMP135 uv[21992]: 09:41:58.541 [INFO    ] aas_agent.core.event_handler — Operation triggered: set_emission_factor (via 'emissionfactor')
May 18 09:41:58 CoreMP135 uv[21992]: 09:41:58.543 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 3] Emission factor before update: 0.059
May 18 09:41:58 CoreMP135 uv[21992]: 09:41:58.556 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 2] Emission factor updated: 0.06
May 18 09:41:58 CoreMP135 uv[21992]: 09:41:58.558 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 4] Emission factor before update: 0.059
May 18 09:41:58 CoreMP135 uv[21992]: 09:41:58.559 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 1] Emission factor updated: 0.06
May 18 09:41:58 CoreMP135 uv[21992]: 09:41:58.560 [INFO    ] aas_agent.core.event_handler — Operation triggered: set_emission_factor (via 'emissionfactor')
May 18 09:41:58 CoreMP135 uv[21992]: 09:41:58.576 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 3] Emission factor updated: 0.06
May 18 09:41:58 CoreMP135 uv[21992]: 09:41:58.579 [INFO    ] aas_agent.core.event_handler — Operation triggered: set_emission_factor (via 'emissionfactor')
May 18 09:41:58 CoreMP135 uv[21992]: 09:41:58.580 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 5] Emission factor before update: 0.059
May 18 09:41:58 CoreMP135 uv[21992]: 09:41:58.585 [INFO    ] aas_agent.core.event_handler — Operation triggered: set_emission_factor (via 'emissionfactor')
May 18 09:41:58 CoreMP135 uv[21992]: 09:41:58.591 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 6] Emission factor before update: 0.059
May 18 09:41:58 CoreMP135 uv[21992]: 09:41:58.597 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 4] Emission factor updated: 0.06
May 18 09:41:58 CoreMP135 uv[21992]: 09:41:58.603 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 7] Emission factor before update: 0.059
May 18 09:41:58 CoreMP135 uv[21992]: 09:41:58.616 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 5] Emission factor updated: 0.06
May 18 09:41:58 CoreMP135 uv[21992]: 09:41:58.630 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 6] Emission factor updated: 0.06
May 18 09:41:58 CoreMP135 uv[21992]: 09:41:58.645 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 7] Emission factor updated: 0.06
May 18 09:42:04 CoreMP135 uv[21992]: 09:42:04.053 [INFO    ] aas_agent.core.event_handler — Operation triggered: set_emission_factor (via 'emissionfactor')
May 18 09:42:04 CoreMP135 uv[21992]: 09:42:04.058 [INFO    ] aas_agent.core.event_handler — Operation triggered: set_emission_factor (via 'emissionfactor')
May 18 09:42:04 CoreMP135 uv[21992]: 09:42:04.060 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 0] Emission factor before update: 0.06
May 18 09:42:04 CoreMP135 uv[21992]: 09:42:04.063 [INFO    ] aas_agent.core.event_handler — Operation triggered: set_emission_factor (via 'emissionfactor')
May 18 09:42:04 CoreMP135 uv[21992]: 09:42:04.065 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 1] Emission factor before update: 0.06
May 18 09:42:04 CoreMP135 uv[21992]: 09:42:04.075 [INFO    ] aas_agent.core.event_handler — Operation triggered: set_emission_factor (via 'emissionfactor')
May 18 09:42:04 CoreMP135 uv[21992]: 09:42:04.075 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 2] Emission factor before update: 0.06
May 18 09:42:04 CoreMP135 uv[21992]: 09:42:04.085 [INFO    ] aas_agent.core.event_handler — Operation triggered: set_emission_factor (via 'emissionfactor')
May 18 09:42:04 CoreMP135 uv[21992]: 09:42:04.087 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 3] Emission factor before update: 0.06
May 18 09:42:04 CoreMP135 uv[21992]: 09:42:04.110 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 0] Emission factor updated: 0.059
May 18 09:42:04 CoreMP135 uv[21992]: 09:42:04.117 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 1] Emission factor updated: 0.059
May 18 09:42:04 CoreMP135 uv[21992]: 09:42:04.118 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 4] Emission factor before update: 0.06
May 18 09:42:04 CoreMP135 uv[21992]: 09:42:04.118 [INFO    ] aas_agent.core.event_handler — Operation triggered: set_emission_factor (via 'emissionfactor')
May 18 09:42:04 CoreMP135 uv[21992]: 09:42:04.123 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 2] Emission factor updated: 0.059
May 18 09:42:04 CoreMP135 uv[21992]: 09:42:04.141 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 3] Emission factor updated: 0.059
May 18 09:42:04 CoreMP135 uv[21992]: 09:42:04.142 [INFO    ] aas_agent.core.event_handler — Operation triggered: set_emission_factor (via 'emissionfactor')
May 18 09:42:04 CoreMP135 uv[21992]: 09:42:04.144 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 5] Emission factor before update: 0.06
May 18 09:42:04 CoreMP135 uv[21992]: 09:42:04.151 [INFO    ] aas_agent.core.event_handler — Operation triggered: set_emission_factor (via 'emissionfactor')
